#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.0044134351295 1.43041604336 0.21824675974 0.215702339832 -0.516966666667
4 -0.00398085969753 1.54626098106 0.214057181163 0.210780320248 -0.514675
5 -0.00425997311696 1.70293098282 0.341145872879 0.175834750854 -0.52046
6 -0.00414988213791 1.64404808736 0.425853521868 0.209699512954 -0.515766666667
7 -0.00499175303493 1.05908410248 0.673591765385 0.285125652005 -0.515
8 -0.00515199256456 0.938127674953 0.936772918726 0.334927361354 -0.5096875
9 -0.00521116304086 0.844853803447 1.14325857053 0.363116633804 -0.506322222222
10 -0.00546418449933 0.737541166373 1.32709689019 0.381545425893 -0.50533
11 -0.00557058822505 0.69448094818 1.36032162961 0.391724154942 -0.505309090909
12 -0.00558680276725 0.639847938955 1.52517519513 0.401457136428 -0.503641666667
13 -0.00556567370448 0.658780198535 1.59684630804 0.400953327584 -0.501176923077
14 -0.00558843725891 0.609780675894 1.81382427182 0.403388939975 -0.4986
15 -0.00567888228528 0.568819095794 1.87025368298 0.40127990649 -0.496686666667
16 -0.00573883477549 0.539685718472 1.92420169338 0.399834859784 -0.4951
17 -0.00576106188013 0.516961510218 1.93196977856 0.398047219161 -0.493835294118
18 -0.00592183292228 0.464886715907 1.9819413428 0.393317750965 -0.492605555556
19 -0.00614085066996 0.415822964037 1.99893265795 0.386288898388 -0.492747368421
20 -0.00640438338276 0.398835200465 1.97808789803 0.376253264485 -0.49216
21 -0.00654159010351 0.365589905134 2.03566396127 0.374238006485 -0.490819047619
22 -0.00663827371753 0.365545642718 2.05409220436 0.373786405878 -0.489068181818
23 -0.00661833608667 0.359561744754 2.05263526012 0.373876112522 -0.487973913043
24 -0.00666872862718 0.347048618778 2.08254225193 0.374182095697 -0.487204166667
25 -0.00665844071712 0.342317716118 2.08254005636 0.37510291532 -0.486452
26 -0.00686825768819 0.395766792201 2.06791642219 0.371015514416 -0.486434615385
27 -0.00694927920752 0.397351116114 2.02646306349 0.373588933966 -0.486418518519
28 -0.00702828081782 0.376915483868 2.05655725839 0.377014894693 -0.485996428571
29 -0.0070978911381 0.36369833862 2.05657078693 0.379680739907 -0.485937931034
30 -0.00725433973606 0.339181241482 2.10006308401 0.381474092831 -0.485176666667
31 -0.0073757181053 0.322321078062 2.15050464349 0.3836713857 -0.484977419355
32 -0.00752916039666 0.29992079135 2.13228483471 0.385482759806 -0.4851
33 -0.00775052716071 0.276825313104 2.20337983775 0.386175021957 -0.484618181818
34 -0.00791777180829 0.260220988084 2.27133111819 0.388814640682 -0.484308823529
35 -0.0080540847337 0.247263622642 2.34164241329 0.391659130328 -0.483917142857
36 -0.00816288655903 0.234953847155 2.43766178279 0.393999418676 -0.483380555556
37 -0.00833264864339 0.238562830882 2.48353744156 0.393792704624 -0.483110810811
38 -0.00841177578942 0.229117537863 2.53581727054 0.395159793859 -0.483084210526
39 -0.0085184867908 0.219655182182 2.57723081473 0.395860863779 -0.48298974359
40 -0.008630910489 0.211043601687 2.66596497165 0.396087888332 -0.482445
41 -0.00874287865558 0.20387610659 2.73608628094 0.396045811934 -0.48202195122
42 -0.00879606123016 0.199526890055 2.80992851069 0.396230847704 -0.481464285714
43 -0.00888480341656 0.195380587318 2.86177937781 0.395719416581 -0.481295348837
44 -0.00889054478294 0.199276696723 2.92009155634 0.395366360081 -0.480738636364
45 -0.00892935411915 0.194409017686 2.97332850834 0.395301751812 -0.479813333333
46 -0.00893922071334 0.190746332509 3.02159432453 0.395035744658 -0.479123913043
47 -0.00897042462093 0.186044674852 3.07888582545 0.395289717401 -0.478912765957
48 -0.00899411815219 0.183413315103 3.09945811651 0.397905196107 -0.478902083333
49 -0.00905237433011 0.178105926164 3.13703798839 0.400637760929 -0.478814285714
50 -0.00910262064376 0.173526588712 3.17935517199 0.402967430076 -0.478586
51 -0.00915386967546 0.171149890797 3.19263596443 0.404868738482 -0.478070588235
52 -0.00916186291422 0.168837906631 3.27561934687 0.406468203419 -0.477357692308
53 -0.00916078854077 0.16667776378 3.33163490798 0.407688504492 -0.476630188679
54 -0.00917771256699 0.166004042003 3.36940404695 0.408521434743 -0.476005555556
55 -0.00915897332938 0.165862869982 3.36158360193 0.409037528792 -0.475452727273
56 -0.00913797743868 0.164756028003 3.37160854504 0.40943877836 -0.475121428571
57 -0.00911774144636 0.163181468616 3.3888863546 0.409877063766 -0.474701754386
58 -0.00908151289842 0.163208314977 3.36939768005 0.409810686392 -0.474479310345
59 -0.00909360534345 0.165598338506 3.36488809757 0.409939832905 -0.474510169492
60 -0.00907130949551 0.163902827236 3.37810755125 0.410317362499 -0.474358333333
61 -0.00904997110004 0.163631471935 3.4101215965 0.41046131718 -0.473916393443
641 -0.00896648438545 0.16061237113 3.44152811315 0.410458938397 -0.473199687988
