#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00376876762627 1.62837722366 0.392704895435 0.196360573214 -0.391466666667
4 -0.00405841028068 1.90695991474 0.411664756881 0.228506460331 -0.38865
5 -0.00435398851485 1.41594698637 0.641940792198 0.259107632502 -0.38524
6 -0.0063602675105 0.708408360496 1.36678194418 0.324460746041 -0.379433333333
7 -0.00761706082586 0.4997816821 1.92825448223 0.390159967287 -0.375142857143
8 -0.0092632395985 0.350127313472 2.34774224071 0.418489400065 -0.3675375
9 -0.00973546575119 0.373678733886 2.45853571959 0.428017564715 -0.363177777778
10 -0.00966477458513 0.376499054005 2.13777717526 0.429855752269 -0.35661
11 -0.00981735885307 0.384902120816 1.97971399444 0.429162725549 -0.351036363636
12 -0.00964426066512 0.446081155326 1.70498677818 0.413788599653 -0.348341666667
13 -0.00953758658725 0.480050198052 1.55262246236 0.408350561107 -0.343246153846
14 -0.00936604993608 0.511682795499 1.39781750458 0.400192832465 -0.339785714286
15 -0.00915113379112 0.530188955588 1.29907490999 0.396769885767 -0.336306666667
16 -0.00897700263364 0.521449973338 1.52663597919 0.401639553949 -0.33471875
17 -0.00907025874193 0.491032882168 1.8927003362 0.41042989026 -0.333035294118
18 -0.00900304474082 0.504898465572 2.00494239707 0.413830028748 -0.330544444444
19 -0.00889382397693 0.49476134082 2.09990224059 0.416838812726 -0.328957894737
20 -0.00873025604865 0.501800013876 2.0661054997 0.412788244947 -0.326965
21 -0.00883556660244 0.469857262396 2.23959828308 0.41479510232 -0.325580952381
22 -0.00892033219373 0.443058919997 2.41986190695 0.416662926877 -0.324268181818
23 -0.00891830808348 0.454202820111 2.44902913718 0.41466531336 -0.322947826087
24 -0.00884813449545 0.463231685021 2.45614727186 0.41143662694 -0.321525
25 -0.00878082034715 0.474250250688 2.50528075771 0.408170230473 -0.319888
26 -0.00882801265245 0.466458852331 2.64781982553 0.406078840792 -0.318988461538
27 -0.0088536896299 0.457441725893 2.75280035036 0.404319134075 -0.318555555556
28 -0.00887177381188 0.444915317169 2.83903986185 0.402981325367 -0.318185714286
29 -0.00883128671659 0.446577584094 2.83525369306 0.400584705655 -0.317820689655
30 -0.00875579757432 0.443903776973 2.80510481413 0.397240226537 -0.316356666667
31 -0.00869899988044 0.43997319711 2.79702512449 0.394640378176 -0.315625806452
32 -0.00868098978157 0.43725199084 2.80595958536 0.392053535086 -0.313534375
33 -0.0087172312958 0.439263548456 2.80380090831 0.38836370193 -0.313718181818
34 -0.0086835680322 0.438074105473 2.81380058732 0.385841934212 -0.313635294118
35 -0.00863528535922 0.437539459378 2.77147900136 0.383438144764 -0.313565714286
36 -0.00857119594484 0.437530961152 2.75193559556 0.380924274764 -0.313277777778
37 -0.00852787652527 0.466248522394 2.69255900737 0.375751513395 -0.313183783784
38 -0.00847640407044 0.467407399868 2.65564343931 0.373003826513 -0.313160526316
410 -0.00840847801081 0.460259151969 2.55612405774 0.364921710752 -0.3141
