#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.0127337104818 0.589167561834 0.31098728699 0.37400406116 -0.559033333333
4 -0.0114100641283 0.763287932478 0.168786262048 0.319897369641 -0.56415
5 -0.010712303364 0.861864118516 0.0343139953804 0.295478059427 -0.57388
6 -0.0111283300993 0.985204655541 -0.0165560775558 0.252097539093 -0.575383333333
7 -0.0105207994843 1.05441760039 0.00578002536769 0.254111646764 -0.580057142857
8 -0.0109449502811 1.24531468335 0.0992132969578 0.239610052604 -0.57675
9 -0.0108523130407 1.24656806224 0.249900247332 0.251289683913 -0.570944444444
10 -0.0107597820368 1.17656094282 0.457082913761 0.272002439833 -0.56636
11 -0.0112779534912 1.02388905547 0.630919748353 0.294367273704 -0.566536363636
12 -0.0121832309593 0.814373944523 0.848137648748 0.311996016111 -0.5679
13 -0.012964075144 0.672379255451 1.10177574357 0.33898672472 -0.569076923077
14 -0.0137129663403 0.565927886575 1.24322138906 0.358418989587 -0.571207142857
15 -0.0138122589247 0.56935133818 1.28984212316 0.368075278917 -0.57354
16 -0.01454317878 0.664810709647 1.18074549549 0.339999401641 -0.568025
17 -0.0146907307697 0.640586802882 0.978511111965 0.342930078934 -0.559041176471
18 -0.015607769047 0.563846304989 0.811335885273 0.3435567351 -0.548727777778
19 -0.0170210887462 0.468615982427 0.527626249353 0.339629428977 -0.534178947368
20 -0.0182001521744 0.392279829668 0.476694634378 0.344864183785 -0.52261
21 -0.018794232679 0.360773852355 0.443488312745 0.34919706402 -0.514080952381
22 -0.0196497874997 0.342110370442 0.423688543546 0.352940399121 -0.505877272727
23 -0.0205263694218 0.307802335879 0.419498693718 0.357778018794 -0.497708695652
24 -0.0216690502363 0.287459819482 0.422024761721 0.370751701232 -0.4900875
25 -0.0221905500468 0.275902662021 0.439229566178 0.383448401539 -0.48276
26 -0.0218834044057 0.277410899471 0.455225578154 0.384929549515 -0.482919230769
27 -0.0215014565752 0.281433972825 0.443650184807 0.379850400994 -0.485281481481
28 -0.0213598219611 0.311711926201 0.379802482846 0.375578991191 -0.489471428571
29 -0.0211116442008 0.310093648758 0.301263978777 0.375054951622 -0.494865517241
30 -0.0210051720247 0.320977888182 0.251067385313 0.372973975165 -0.501183333333
31 -0.020969466142 0.318005250262 0.155862645915 0.372834109347 -0.508738709677
32 -0.0209062361741 0.319974933301 0.111936925486 0.370726297377 -0.51434375
33 -0.0209762486073 0.328188438126 0.268326563098 0.366870106221 -0.515245454545
34 -0.0214649933737 0.309564186042 0.418800505419 0.363722574178 -0.519355882353
35 -0.0216785474992 0.29729999607 0.5367487855 0.361984980512 -0.522554285714
36 -0.0218640697355 0.290532525761 0.631316442288 0.360109073568 -0.524755555556
37 -0.0219950458497 0.283800263471 0.731097081117 0.358498191766 -0.526845945946
38 -0.0218283262004 0.291451718768 0.763642277958 0.355319574494 -0.527126315789
39 -0.0224773313554 0.326292221229 0.773801769145 0.346564799172 -0.531517948718
40 -0.0228530153856 0.370609005155 0.813038274985 0.330041492995 -0.5307125
41 -0.0231069481938 0.356275535382 0.879721769793 0.309040750135 -0.526853658537
42 -0.0236693303341 0.361723183569 0.909464811075 0.284494909306 -0.522783333333
43 -0.0239924004278 0.349176620855 0.981465914904 0.265295610025 -0.519293023256
44 -0.0239132567786 0.34805749459 1.01033748878 0.255577349813 -0.518288636364
45 -0.0238373786279 0.351559026212 1.04055379587 0.246790180222 -0.517693333333
46 -0.0237946683992 0.353666994976 1.05589775889 0.237925754338 -0.517723913043
47 -0.0236934412628 0.373715676367 1.06395497036 0.233192529301 -0.519531914894
48 -0.0235180644382 0.374049810039 1.08197804481 0.227700409095 -0.5204125
49 -0.0233467579036 0.372652154404 1.10385062776 0.227151630298 -0.520906122449
50 -0.0231582497444 0.374570767199 1.07613763506 0.22501731209 -0.522986
51 -0.023009731819 0.37684235434 0.985959762076 0.219758616146 -0.527039215686
52 -0.0231145943136 0.368230256297 0.868334553881 0.218125619738 -0.532807692308
559 -0.022764168038 0.363001474584 0.598008700805 0.215009955694 -0.548488372093
