#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00260702779264 1.45203673186 0.40182109426 0.31008917938 -1.34483333333
4 -0.00278871365147 1.06717913821 0.910926943826 0.35571080051 -1.4013
5 -0.00362084332168 0.690824039453 1.33371901662 0.353208141894 -1.4325
6 -0.00543733038253 0.326798740791 1.76261270942 0.390914926339 -1.44971666667
7 -0.00732006020308 0.208305448361 1.71781125253 0.408114595218 -1.44465714286
8 -0.00812241049401 0.165864556751 1.69566743377 0.434700934469 -1.4399625
9 -0.00828595803831 0.147565489866 1.31821039068 0.449904254839 -1.42783333333
10 -0.00843953002828 0.18203855486 1.04627367896 0.453228665901 -1.41813
11 -0.00860725333727 0.169065104826 0.746522652609 0.455027645537 -1.40611818182
12 -0.00853796026732 0.168942580114 0.473072065984 0.452880184356 -1.39190833333
13 -0.00849841548102 0.16341734823 0.222930764147 0.449139415864 -1.37999230769
14 -0.0084229182742 0.157489645581 0.0399410877238 0.444147094369 -1.36947857143
15 -0.00837863541029 0.155580509599 -0.0997336970934 0.437940643426 -1.35954666667
16 -0.00824991039374 0.157165952531 -0.156051950787 0.43176442449 -1.35430625
17 -0.00843096360537 0.314488220531 -0.1327400778 0.417799520093 -1.35202941176
18 -0.00823018690938 0.32521166895 -0.0764092324081 0.410906507969 -1.3505
19 -0.00813115179454 0.329812745295 0.0604554119873 0.415794933962 -1.34732105263
20 -0.00796844821021 0.327077434467 0.19364215238 0.416715625756 -1.34376
21 -0.00782135540975 0.330597821909 0.285753544025 0.415257834641 -1.34007142857
22 -0.00765621572048 0.336156736824 0.255251368637 0.40087652598 -1.33495
23 -0.00768478890872 0.343347978404 0.1854729708 0.360922437377 -1.32989565217
24 -0.00778381324209 0.328436958989 0.0879616719166 0.317623437893 -1.32244583333
25 -0.00793717516732 0.315230145802 0.0169448525972 0.295809782254 -1.315988
26 -0.00799511824143 0.304300842714 -0.0406531242153 0.291627703105 -1.31115
27 -0.00822454487506 0.290947139979 -0.102888098303 0.28522230084 -1.30459259259
305 -0.00853849845837 0.264526801418 -0.325298697096 0.272799936804 -1.28241967213
