#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00398570713054 2.14566327552 0.72272415514 0.174350105619 -0.1835
4 -0.00472682539093 2.21087885288 0.634047362529 0.115588148813 -0.181025
5 -0.00446633990221 2.15236899114 0.77239383707 0.127999122771 -0.1828
6 -0.00432511011732 2.10984389173 0.650274683672 0.157362028015 -0.1831
7 -0.00419116526426 2.01929991819 0.682897711758 0.170716023914 -0.183857142857
8 -0.0040081786373 2.00250371186 0.661149027714 0.176655871107 -0.1839125
9 -0.00421183493348 1.79446022594 0.706342508101 0.181026330895 -0.182588888889
10 -0.00496455498241 2.05900457867 0.577372978677 0.151999029489 -0.18099
11 -0.00475524478447 2.07450626381 0.533879668284 0.138274115683 -0.181163636364
12 -0.00487902609144 2.09841575256 0.479909729078 0.119517927435 -0.1806
13 -0.00472841511623 2.10347422181 0.462307844141 0.111666338831 -0.180692307692
14 -0.00459497592961 2.08697538735 0.5015066544 0.1138637681 -0.180907142857
15 -0.00448411963666 2.05630801536 0.51690066506 0.120508707938 -0.180386666667
16 -0.00440148722948 2.06307363066 0.500463252463 0.108870630056 -0.1812375
17 -0.00434126100177 2.03655325634 0.524494069984 0.104439696477 -0.181605882353
18 -0.00425356753222 2.01484864316 0.53379100422 0.0955806495666 -0.182466666667
19 -0.00417928922324 2.01857937096 0.528064569686 0.0889488441459 -0.182863157895
20 -0.00424179097988 1.95535303082 0.539738938043 0.0721510683268 -0.183625
21 -0.00419976680952 1.94645516927 0.516180561856 0.070873346989 -0.1833
22 -0.00416895225223 1.9656475565 0.4869666282 0.0694373430471 -0.183118181818
23 -0.0041605440537 1.93784528807 0.472835958282 0.0703712342677 -0.183252173913
24 -0.00415305545569 1.89856625076 0.483803778326 0.0850251221521 -0.183025
25 -0.00438045461612 1.78227370073 0.546910160806 0.10358339603 -0.183092
26 -0.00449578402276 1.78469456048 0.574208545164 0.116776958881 -0.183726923077
27 -0.00444942263058 1.76019185916 0.606414982731 0.125681549827 -0.183985185185
28 -0.00453715114019 1.69872697079 0.654558886066 0.140885057444 -0.184685714286
29 -0.00456126267401 1.65985590824 0.663943767792 0.154383021832 -0.1855
30 -0.00453324070638 1.68271580157 0.692442076529 0.154910935817 -0.18498
31 -0.00448387820795 1.68488254563 0.724652011538 0.157096226111 -0.184929032258
32 -0.00451038333843 1.67084870579 0.777634863606 0.167934901284 -0.18518125
33 -0.00447390826474 1.66686588221 0.787897323698 0.17162362111 -0.185409090909
34 -0.00447488506787 1.68214052797 0.797776215458 0.173153118727 -0.185444117647
35 -0.00445880928795 1.67570562785 0.808300460571 0.174494758859 -0.18554
36 -0.00445123783828 1.67704252066 0.848523295522 0.174490453341 -0.185791666667
37 -0.00450209124486 1.62709309601 0.902121303843 0.179511322042 -0.186672972973
38 -0.00452623407419 1.60158808657 0.934231738866 0.184384184365 -0.187097368421
39 -0.00467986444463 1.49645009819 1.05405336588 0.193095663624 -0.187820512821
40 -0.00475632707813 1.43867174717 1.14752193334 0.199707573169 -0.18822
41 -0.00495397725962 1.32209820329 1.26049328984 0.206499859687 -0.188336585366
42 -0.00511285843672 1.22589612827 1.40649954283 0.220385877568 -0.188469047619
43 -0.00531528264383 1.11387580122 1.56125463283 0.240103169783 -0.188560465116
44 -0.00558019388344 1.00283967815 1.70187243464 0.258320237076 -0.188436363636
45 -0.00602492234403 0.855036164479 1.88527140822 0.274700319835 -0.187953333333
46 -0.00621528070042 0.799888225967 2.08106312809 0.289141658728 -0.188106521739
47 -0.00647333229801 0.727068367151 2.26281651563 0.303920538835 -0.188470212766
48 -0.00670549397969 0.672350457118 2.46409362306 0.318063418839 -0.188539583333
49 -0.00686849145073 0.634456732667 2.68133957878 0.330182414853 -0.188969387755
50 -0.00701825919713 0.599213794841 2.88096882877 0.341326263999 -0.189116
51 -0.00711845213103 0.572936407515 3.07760057616 0.351001562004 -0.189117647059
52 -0.00717909274907 0.55595865453 3.27362486418 0.358938871815 -0.189307692308
53 -0.00740678566213 0.553163007721 3.45870929073 0.36436515457 -0.188979245283
54 -0.00741475417702 0.54431795501 3.54641904177 0.369864872367 -0.188924074074
55 -0.00742623144752 0.534500529696 3.62658020636 0.375175950526 -0.188963636364
56 -0.00742957450981 0.526492214785 3.68675469817 0.379558515528 -0.189101785714
57 -0.00741910642135 0.520049427445 3.75455654444 0.383201924806 -0.189140350877
58 -0.0074004086719 0.516786910317 3.77239058317 0.38589280767 -0.18930862069
59 -0.00736946787026 0.515046586276 3.78564831515 0.38728344964 -0.189594915254
60 -0.00731717761428 0.517498784013 3.72370297237 0.384795476103 -0.189706666667
61 -0.00726018119256 0.518540203449 3.65087620416 0.382394231413 -0.189680327869
62 -0.00728204890131 0.537778923841 3.6090692524 0.377705680149 -0.190461290323
63 -0.00724000926463 0.545693753505 3.54063249063 0.374872650625 -0.19100952381
64 -0.00719468817146 0.550469181393 3.46923465241 0.371209743797 -0.1917
65 -0.00714336271426 0.553192217899 3.39825713668 0.368384313551 -0.19194
66 -0.00709322878693 0.555210468302 3.3265960661 0.365579933614 -0.192346969697
692 -0.00697015112083 0.569028215626 3.13016023088 0.357944189303 -0.191528901734
