#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00639884635862 2.21876666802 0.461536234491 0.155185880272 -0.3048
4 -0.00587485591786 2.13580022523 0.295079057348 0.140738456877 -0.2967
5 -0.00586354025574 1.95602461447 0.556877806366 0.128980717426 -0.29548
6 -0.00578611907897 2.07210472598 0.679312932521 0.141901693803 -0.29465
7 -0.00560975437002 2.02331398867 0.671353631057 0.147096616969 -0.292571428571
8 -0.00580655846133 1.92795837447 0.645160771997 0.160750202579 -0.2875
9 -0.00570199491427 1.88678322931 0.549416544343 0.142598296324 -0.284411111111
10 -0.00559272075419 1.82522587172 0.564581576196 0.110983399022 -0.2837
11 -0.00596623976336 1.96962103369 0.502287979852 0.130383296614 -0.279309090909
12 -0.00585575012501 1.94852630683 0.473365669544 0.10443730508 -0.280158333333
13 -0.00595733178111 1.92328210443 0.492065510648 0.111472023095 -0.282615384615
14 -0.00594091497687 1.87544696037 0.506338801924 0.122091688288 -0.280921428571
15 -0.00601515675744 1.85234909287 0.494076508633 0.124644788923 -0.280486666667
16 -0.00598453390162 1.78177510076 0.501905645013 0.100966517492 -0.2817375
17 -0.00604619090745 1.69527416672 0.536719274763 0.105148211375 -0.281429411765
18 -0.00642109055147 1.5310411756 0.595569770992 0.128305906115 -0.279955555556
19 -0.00644478023261 1.48694560615 0.673099325038 0.14543264087 -0.279889473684
20 -0.00674228401216 1.34448086255 0.720225456542 0.180807411714 -0.27855
21 -0.00727186617098 1.16858339529 0.838783460355 0.221262090962 -0.27699047619
22 -0.00718800040537 1.19668406989 0.823820538673 0.216444466108 -0.277977272727
23 -0.00706846751519 1.21302287386 0.791355271692 0.212409653231 -0.279113043478
24 -0.00706001642683 1.23741865845 0.789458345886 0.20052597982 -0.27875
25 -0.00708791816907 1.24807411278 0.791813817478 0.200891283563 -0.277912
26 -0.00720575382619 1.2769744368 0.805081459519 0.200491975731 -0.277042307692
27 -0.00715928798459 1.26421478333 0.872310498174 0.20635503661 -0.277555555556
28 -0.00717760634569 1.27349144088 0.965501768695 0.213470090591 -0.278042857143
29 -0.0072655725711 1.23398318406 1.02168569359 0.226313116379 -0.277668965517
30 -0.00734218361953 1.18932187956 1.07678961572 0.237732782166 -0.277536666667
31 -0.00752544880373 1.11816985544 1.17027410833 0.250209433812 -0.277132258065
32 -0.00760658499832 1.07084538587 1.22693233187 0.259480545288 -0.276628125
33 -0.00765890937334 1.04294221454 1.25614855911 0.266144432401 -0.276445454545
34 -0.00761609051658 1.03319169768 1.3073993951 0.26977577422 -0.277620588235
35 -0.00757298717205 1.03330981748 1.34841912637 0.271930037563 -0.278177142857
36 -0.00763230880042 1.01886684412 1.37488371252 0.275930083461 -0.278225
37 -0.00808087549192 1.06554827468 1.41734592941 0.273779992577 -0.278002702703
38 -0.00845675097825 0.973087597569 1.55005015196 0.27263545655 -0.277839473684
39 -0.00899356081825 0.844485642994 1.72325024101 0.276540304229 -0.277905128205
423 -0.0110011659231 0.539173788546 2.2478611735 0.313798833624 -0.276661938534
