#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00651085225253 2.03844918058 0.197463046459 0.165427214576 -0.546733333333
4 -0.00621688988696 1.94652890362 0.23788353053 0.183804944016 -0.481875
5 -0.0058343932829 1.98020828021 0.0614672985837 0.148117414533 -0.41804
6 -0.00571181676641 1.94156387314 0.0575822634287 0.140321854482 -0.415783333333
7 -0.00541921830546 1.94890976094 0.307726093331 0.119077865513 -0.516285714286
8 -0.00559655290636 2.00533798602 0.380629899508 0.130759254793 -0.61625
9 -0.00552453191645 1.92543981487 0.541632256536 0.140340246346 -0.716955555556
10 -0.00542697320238 1.93557292178 0.665586608294 0.153925303324 -0.7974
11 -0.00536696878129 1.92845303729 0.741441827388 0.167492136202 -0.842427272727
12 -0.00548637954803 1.80311635567 0.842193470948 0.198215028142 -0.861066666667
13 -0.00578195583665 1.53086254072 1.08366785931 0.23366454406 -0.886707692308
14 -0.00608383564251 1.45409164119 1.13991651115 0.244537712473 -0.9024
15 -0.00662374590112 1.21511896149 1.13853876969 0.262850922799 -0.915906666667
16 -0.00756617807272 0.906655378715 1.28704454482 0.293141882002 -0.942725
17 -0.00845105699667 0.726618067612 1.47918753674 0.324609131698 -0.989852941176
18 -0.00914590859026 0.596190597291 1.6853054997 0.350682218157 -1.03726111111
19 -0.010377043843 0.448676828961 1.69189427279 0.367012646166 -1.03382105263
20 -0.0119266378268 0.340211408655 1.59735606294 0.374139596424 -1.016785
236 -0.0146383845389 0.300854871973 1.93419599094 0.418314327889 -1.05254237288
