#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00424620197298 2.28509584777 -0.00641386459742 0.149579312669 0.598533333333
4 -0.00554342772393 1.98250546042 -0.120300955779 0.15538646957 0.6021
5 -0.00521843280998 1.9544356679 0.010037897969 0.159353608394 0.60516
6 -0.00494909298874 1.88824379603 -0.0189287906239 0.168210706986 0.61055
7 -0.00477436130454 1.95314283546 -0.00121918686393 0.149787309063 0.611642857143
8 -0.00453772389808 1.92177414619 0.162838099178 0.139056956152 0.6134625
9 -0.00435129413487 1.96226197626 0.132583647849 0.127327758611 0.616277777778
10 -0.00422895450638 1.95574571197 0.218320786663 0.125602579129 0.61812
11 -0.00426501710456 1.96263680512 0.313854478291 0.139708054022 0.620036363636
12 -0.00416140089428 1.96041486482 0.439083334282 0.147565084459 0.62215
13 -0.00410786767219 1.94846487993 0.493778496153 0.155164438914 0.624838461538
14 -0.00399884563366 1.95903976741 0.519953742806 0.150009753309 0.628807142857
15 -0.00392710463706 1.95150062464 0.540894883374 0.143881699964 0.632026666667
16 -0.0038994715249 1.97163297135 0.394729700179 0.132514134846 0.63508125
17 -0.00383547482337 1.95980298278 0.511271203239 0.136009870985 0.637658823529
18 -0.00424179107724 1.91664572591 0.585621754566 0.140384411151 0.638211111111
19 -0.00467623358605 1.85120949091 0.52693480004 0.131686919217 0.640652631579
20 -0.00460568800993 1.8428505002 0.510627348864 0.119742280242 0.641275
21 -0.00458349770584 1.80842760751 0.528176787956 0.115064406918 0.641261904762
22 -0.0046473866204 1.81445924784 0.559162927549 0.118617880548 0.640440909091
251 -0.00447395382683 1.79421580078 0.610098431613 0.125643393031 0.640916334661
