#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00255169216226 1.92414158675 -0.0694873637085 0.251136092076 -0.326233333333
4 -0.00310118514768 1.51282922406 0.146525069403 0.267458063098 -0.3231
5 -0.00304043266821 1.55062403336 0.174411914277 0.251025280444 -0.32184
6 -0.00297743915514 1.52145968647 0.117680021683 0.258591009815 -0.320083333333
7 -0.00283317935553 1.5421747049 0.144027409441 0.241229078078 -0.321571428571
8 -0.00297450943029 1.32334018419 0.28561337129 0.224092857863 -0.3208
9 -0.00292825211781 1.42339301698 0.293496247503 0.224232566553 -0.322322222222
10 -0.00288637484453 1.5031293949 0.290112351882 0.199835295342 -0.32181
11 -0.00280067056432 1.55560335985 0.280682960151 0.194709638316 -0.322054545455
12 -0.00309334387283 1.55911407404 0.300678765046 0.184257810737 -0.321808333333
13 -0.00317817918486 1.50291503143 0.351637617195 0.207138944465 -0.323084615385
14 -0.0033730895152 1.38642299504 0.459042022533 0.244262032259 -0.323614285714
15 -0.00347327957291 1.3566186655 0.459794902008 0.245721166976 -0.322973333333
16 -0.00360565667186 1.23843921323 0.50894077686 0.270189734773 -0.32369375
17 -0.00372472581123 1.16750519965 0.543198257564 0.287729218896 -0.324535294118
18 -0.00377346457662 1.10735540461 0.543173250656 0.302773575157 -0.325944444444
19 -0.00465112582437 1.53367360232 0.538662519459 0.256339096659 -0.324236842105
20 -0.00457050627607 1.54729770407 0.532954205244 0.241140259094 -0.324465
21 -0.00453463893057 1.53450951246 0.52069941549 0.224373503893 -0.325204761905
22 -0.00452912913018 1.53238345322 0.506848568135 0.228972372537 -0.325277272727
23 -0.00476177492639 1.51075255978 0.494192725639 0.230759258294 -0.32677826087
24 -0.00482009827921 1.45569267351 0.510333656135 0.237687944007 -0.327470833333
25 -0.00513432332102 1.25734774129 0.572361294927 0.247606539146 -0.328472
26 -0.0052607383043 1.24079222199 0.640598898294 0.255779299369 -0.328846153846
27 -0.00555396501201 1.10043821613 0.711807821787 0.262578523921 -0.329422222222
28 -0.00571273107449 1.01179104078 0.808228644882 0.269974486976 -0.329907142857
29 -0.00584800685162 0.96222988426 0.882440775783 0.279725957177 -0.330565517241
30 -0.00592560291132 0.97348999303 0.945595812923 0.289902826028 -0.33116
31 -0.0061713911889 0.984765174131 0.98103907889 0.295971609898 -0.331512903226
32 -0.00621644700354 0.977902096817 1.00078159666 0.30360310411 -0.3317125
33 -0.00623474837634 0.964238389152 1.02434613652 0.311088114238 -0.331996969697
34 -0.00639859578184 0.894564152767 1.12811071487 0.32541793331 -0.332744117647
35 -0.00654752159684 0.837685352831 1.23074277762 0.337284463257 -0.333182857143
36 -0.00668753190218 0.79010133031 1.29670384038 0.346927765636 -0.334072222222
37 -0.00679292498349 0.753736652762 1.35257378121 0.3555447385 -0.334959459459
38 -0.00682814054655 0.729985078212 1.40524903101 0.362276974343 -0.335660526316
39 -0.00686063136365 0.710189471669 1.44757917899 0.367571980436 -0.3362
40 -0.0070047691053 0.666964167669 1.51989446577 0.37254672992 -0.336965
41 -0.00715230167289 0.627843326849 1.60895843574 0.376947220373 -0.337446341463
42 -0.00729110280802 0.594066764036 1.69718237248 0.381848963338 -0.337721428571
43 -0.0073896989968 0.571374864294 1.76505590973 0.386155303868 -0.338093023256
44 -0.00748271696204 0.551023325542 1.82869123797 0.389894119285 -0.338438636364
45 -0.00763071749266 0.521153190529 1.89932469239 0.39286165949 -0.338393333333
46 -0.00784597324523 0.490228031646 1.96808752299 0.394204260605 -0.338743478261
492 -0.00880053248177 0.416250415947 2.25075086441 0.388616385864 -0.339979674797
