#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00533693826305 1.76831644321 -0.118415626368 0.162884030319 0.0185333333333
4 -0.00550097182045 1.88551191545 -0.192668486297 0.126483587012 0.011725
5 -0.00545602537597 1.79408046635 0.120893651245 0.172231911228 0.02172
6 -0.00516372243202 1.79869361481 0.181921882438 0.186531937456 0.0223
7 -0.00492482763842 1.7879693224 0.147007192558 0.190548738938 0.0232428571429
8 -0.00486804731536 1.75209605236 0.0503616870871 0.19610543566 0.019125
9 -0.00502647005156 1.8769604901 -0.0206856539463 0.187127848384 0.0158666666667
10 -0.00509955869499 1.91377801653 -0.0171529929133 0.172469765395 0.01135
11 -0.00520731551754 1.83979529753 -0.0413139910549 0.1762132816 0.00575454545454
12 -0.00514990845551 1.76889046726 -0.104212711841 0.18273989879 0.001625
13 -0.00536766336723 1.56358535305 -0.166768444696 0.192487011271 -0.00313076923077
14 -0.00533904746657 1.49273654404 -0.277770428443 0.21535508269 -0.00753571428572
15 -0.00543582263829 1.43128090834 -0.290337250891 0.228702631398 -0.0104466666667
16 -0.00544309168891 1.50546026347 -0.324904077333 0.224878068414 -0.012
17 -0.00546663571097 1.47028707032 -0.348824321855 0.231400068052 -0.0136529411765
18 -0.00546263215219 1.51511734503 -0.298677218491 0.218661389251 -0.0143944444444
19 -0.00546428298792 1.54926733555 -0.287056710238 0.217366266391 -0.0127842105263
20 -0.00558262960471 1.45644503844 -0.267067561944 0.222493759267 -0.01049
21 -0.00554560342547 1.50072545464 -0.242811448736 0.219374881635 -0.0103857142857
22 -0.00558031852318 1.49322483722 -0.252508670079 0.224969065577 -0.00849090909091
23 -0.00557733550065 1.48763208063 -0.235297567275 0.229824055904 -0.00862608695652
24 -0.00555709518814 1.48978826002 -0.233616926898 0.23398087748 -0.00785416666667
25 -0.00551673260524 1.50621023115 -0.238186685116 0.224558278066 -0.008444
26 -0.0054776852073 1.52105047687 -0.20429970956 0.212121067679 -0.00711153846154
27 -0.00540761215953 1.51600977324 -0.188554122329 0.203098573955 -0.00384074074074
28 -0.00539093575163 1.52783758206 -0.175985237744 0.189403424996 -0.00115714285714
29 -0.00534988429762 1.53811146574 -0.158556298821 0.179748741223 0.00239655172413
30 -0.00530383442712 1.52885653638 -0.193356158117 0.174811862586 0.00530666666666
31 -0.00528174273346 1.50836718106 -0.131307553644 0.160648858173 0.0072193548387
32 -0.00524172511743 1.49083342605 -0.060597372375 0.150671722631 0.00846874999999
33 -0.00524936358358 1.47004577402 0.0127148299269 0.143966116986 0.00992727272726
34 -0.00521920330061 1.47959457909 0.0318306013669 0.139789316685 0.0122088235294
35 -0.00536145132291 1.60105052158 0.00562615720562 0.130978824443 0.0149371428571
36 -0.00534687537974 1.61956890437 0.00680125323686 0.127682229379 0.0160833333333
37 -0.00529701365413 1.6323144 0.00889088843548 0.125713090517 0.0165837837838
38 -0.00530695934092 1.64876323061 -0.00789160634308 0.121905637145 0.0167710526316
39 -0.00529648205294 1.64903484081 -0.00659717336837 0.120050855431 0.0166717948718
40 -0.00527982920521 1.64738434724 3.08325985199e-05 0.119721265486 0.0165
41 -0.0053469425784 1.65750948943 0.0127338268254 0.117409011351 0.0168268292683
42 -0.0053030012069 1.6941814741 0.00105896197349 0.114493676754 0.0162785714286
43 -0.00525578678337 1.70220624001 -0.0161385607254 0.112395601275 0.0155930232558
44 -0.00526430577492 1.73398520272 -0.0114719650318 0.110050284554 0.0152772727273
45 -0.00530806019127 1.72212162671 -0.00466997953783 0.110950584942 0.0156733333333
46 -0.00526972366369 1.71749229792 -0.0256143217886 0.108223729053 0.014352173913
47 -0.00522190919803 1.71580681493 -0.0140126652428 0.106051913863 0.0145553191489
48 -0.0052269629266 1.74420022492 0.00223772439185 0.102795737095 0.01654375
49 -0.00521070543325 1.73669791336 0.0709568640888 0.0987617494014 0.0179387755102
50 -0.00517466006429 1.73743321915 0.0778085786711 0.0968242964841 0.020258
51 -0.00516308643386 1.72879455087 0.126345298985 0.0933350493113 0.0218823529412
52 -0.00515347999745 1.72460527196 0.169955825066 0.0936326831641 0.0232307692308
53 -0.00519567729555 1.75670673136 0.199125283891 0.0928117202489 0.0255867924528
54 -0.00529616474621 1.6828351769 0.288194645833 0.0961256960966 0.0266574074074
55 -0.00555106993284 1.57291980176 0.385013853688 0.110333074819 0.0271890909091
56 -0.00601380693026 1.34651973834 0.480995351612 0.138134541891 0.0271071428571
57 -0.00637482344295 1.17978585066 0.581008498586 0.165626358585 0.0275350877193
58 -0.00681884427937 1.03529929659 0.695479052929 0.190435471825 0.0281051724138
59 -0.00715782958468 0.943041249192 0.804996025416 0.212363551481 0.0285152542373
60 -0.00762926893247 0.820137026427 0.915991775476 0.235109066873 0.027875
61 -0.00810036552503 0.718756943309 1.03698307363 0.255598630136 0.0279114754098
62 -0.00852648294894 0.652003740259 1.11783623151 0.272682114207 0.0281064516129
63 -0.00906039819172 0.574377274261 1.2541645677 0.289463313033 0.0278920634921
64 -0.00959617765972 0.509608326387 1.3967530869 0.304575549945 0.027515625
65 -0.0100934318032 0.455627410468 1.56113917555 0.31835642201 0.0272030769231
66 -0.0104828991527 0.420512337217 1.72598424088 0.330682036741 0.0269303030303
67 -0.0108235042695 0.390036767619 1.88000840977 0.342143227228 0.0267044776119
68 -0.0110842125733 0.372928209974 2.02556261018 0.351961389165 0.0267485294118
69 -0.0114181159964 0.347231924613 2.19022804383 0.361453059553 0.0261826086956
70 -0.0117091228538 0.325591146438 2.36824275908 0.370107208118 0.0255357142857
71 -0.0119088945579 0.314522943692 2.49372922693 0.377560308205 0.0252394366197
72 -0.0120927101189 0.302158565582 2.63066822938 0.384781692096 0.0246416666667
73 -0.0122259861182 0.292725019649 2.74336816901 0.391246286247 0.0241534246575
74 -0.012348906552 0.283422822452 2.85699350853 0.397238662644 0.0232297297297
75 -0.0125064432765 0.274691574226 2.9661388559 0.402806716408 0.0223733333333
76 -0.0126407483952 0.269097434653 3.0785686662 0.407849824649 0.0216407894737
77 -0.01278876442 0.260680888225 3.18282130734 0.412685983055 0.0205389610389
78 -0.012899716714 0.25457033964 3.25414268036 0.417150638567 0.0192358974359
79 -0.0130243026335 0.246844065957 3.32388153259 0.4214910972 0.017982278481
80 -0.0130797230792 0.25074667028 3.35304307527 0.424373557641 0.0169125
81 -0.0130996344239 0.252952889575 3.36134939635 0.427094992027 0.0159530864197
82 -0.0131465490007 0.252074795679 3.32055399751 0.43017831623 0.01435
83 -0.0131316450817 0.252354878299 3.26192630135 0.432168245524 0.0130698795181
84 -0.0131163263939 0.250402163125 3.21082522592 0.434395359934 0.0118404761905
85 -0.0131040401176 0.25080673432 3.15570168868 0.436248402379 0.0105788235294
86 -0.0130935879765 0.248983541904 3.08690688888 0.438310423419 0.00911511627906
87 -0.0130706507835 0.248510189065 3.03485519144 0.439947431061 0.00780229885056
88 -0.0130189801979 0.249333017315 2.96487110556 0.440298137372 0.00639318181817
89 -0.0129810686345 0.248451438877 2.86570717632 0.441406557885 0.00448089887639
90 -0.0129283807721 0.249163385729 2.78346034292 0.441622878617 0.00293666666665
91 -0.012872265875 0.252062361629 2.7264602873 0.440873952679 0.00174505494504
941 -0.012680987155 0.257291490031 2.54141983415 0.436029024319 -0.00249202975559
