#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00555396378951 1.02275080901 -1.74623404638 0.340145175439 -1.1105
4 -0.00507099935749 0.942812100408 -1.11876704462 0.318224205868 -1.12225
5 -0.00492931325939 0.851951985099 -1.01935716926 0.320274007943 -1.13122
6 -0.00473603915024 0.798187983701 -0.996564072132 0.316558779828 -1.13838333333
7 -0.00448414583286 0.846678420812 -0.848754253774 0.289091008106 -1.13778571429
8 -0.00420932059494 0.85769688209 -0.743879928153 0.274650871684 -1.13905
9 -0.0040618514911 0.895357189468 -0.714433642156 0.260595857996 -1.13861111111
10 -0.00397250259073 0.889366513711 -0.756749567476 0.262539025875 -1.13617
11 -0.00444437958332 0.772285727254 -0.554134304615 0.281798336626 -1.13332727273
12 -0.00476343811486 0.706659000491 0.174761316942 0.311333824503 -1.13444166667
13 -0.00492503698722 0.743031401652 1.15074380191 0.324800365189 -1.13723076923
14 -0.00504515750356 0.741318745102 1.96171484296 0.334738204277 -1.14186428571
15 -0.0050340283538 0.78376499185 2.36537279244 0.332091799636 -1.14716666667
16 -0.00492034875938 0.778910980469 2.07643422745 0.304759609427 -1.1532875
17 -0.00485261269561 0.764106176665 1.71230902879 0.303431323936 -1.15801176471
18 -0.00476357193235 0.751725471219 1.43257377493 0.303529337736 -1.16091666667
19 -0.00470065183148 0.736646221171 1.38127352353 0.303579852546 -1.16181052632
20 -0.00460685365708 0.746603073111 1.2565274482 0.292869284728 -1.1581
21 -0.00450763320874 0.751688064779 1.20229641262 0.287651983177 -1.15511428571
22 -0.00444911943409 0.779589774445 1.15819252505 0.281451480986 -1.15237272727
254 -0.0042361919458 0.775770241596 1.204195346 0.269965100974 -1.1462007874
