#Punto Sigma_B Eta_B stetson_L_B CuSum_B B-R
3 -0.00782447893057 1.91914124574 -0.0517707228433 0.195930517917 -0.152333333333
4 -0.0113021670692 1.8452193696 -0.0254315057315 0.142988321916 -0.1524
5 -0.0101414841509 1.83387226755 0.0337894862177 0.13014099459 -0.15148
6 -0.00931385786812 1.83691831584 0.100230053437 0.120985134571 -0.150033333333
7 -0.00898836921234 1.83943619623 0.114835021367 0.135219986225 -0.144985714286
8 -0.0109277011898 1.90468671578 0.153213659057 0.129880856273 -0.1489375
9 -0.0105024566772 1.91399314732 0.102047979021 0.13184646888 -0.146255555556
10 -0.0101653700945 1.91549793027 0.0884554529709 0.134962694243 -0.14453
11 -0.0102427065365 1.86741439516 0.0633878488369 0.135049899624 -0.139927272727
12 -0.00982589164115 1.86737358665 0.0862643108517 0.127838537148 -0.139166666667
13 -0.00954012939164 1.86050559578 0.0751116591023 0.125489722277 -0.136876923077
14 -0.00924899845974 1.87953275894 0.0694681358504 0.118531914593 -0.136021428571
15 -0.00904024685969 1.90417116872 0.0580075837175 0.116180761886 -0.134273333333
16 -0.00879891137747 1.90776124393 0.0682311033741 0.108102606348 -0.1330875
17 -0.00876047980733 1.94834452283 0.0580653225331 0.104503048881 -0.132605882353
18 -0.00859415390466 1.95806978827 0.0829489184556 0.0999476077616 -0.130655555556
19 -0.00858272552962 1.98904517313 0.0988914666115 0.091454734716 -0.129026315789
20 -0.00872789237199 1.88347137812 0.141643646751 0.0777120386062 -0.127525
21 -0.00875377087709 1.86442697214 0.176066953076 0.0785242782477 -0.127671428571
22 -0.008704570545 1.83055013921 0.250920436929 0.0938221597571 -0.1276
23 -0.00855309656586 1.8212095142 0.271072953767 0.103736952716 -0.12757826087
24 -0.00843172572565 1.80188124488 0.293990502352 0.115372746117 -0.127945833333
25 -0.00835502996806 1.77663936855 0.314958313521 0.128968665439 -0.128068
26 -0.00841487208871 1.73162033606 0.351457674279 0.143350697128 -0.128015384615
27 -0.00833444123279 1.70682700381 0.42987238445 0.156858941799 -0.126922222222
28 -0.00829211579744 1.71243725481 0.462226388613 0.163896784839 -0.126092857143
29 -0.00827809446577 1.70952887893 0.562169040258 0.171724458226 -0.125334482759
30 -0.00837257278291 1.64301812795 0.623017677715 0.186489409296 -0.125166666667
31 -0.00832740157327 1.61333783466 0.717414795384 0.196955129379 -0.123480645161
32 -0.00845039842864 1.55289510831 0.786788999659 0.209843538754 -0.122509375
33 -0.00890305277331 1.53996510546 0.854085004427 0.217142568789 -0.121666666667
34 -0.00908290012132 1.45838339967 0.944671798078 0.229681754265 -0.120338235294
35 -0.00928896255916 1.43714319147 1.01521733152 0.238396036294 -0.118922857143
36 -0.00949930563618 1.36408373185 1.11123946706 0.247745704543 -0.117963888889
37 -0.00958107351566 1.30929056257 1.20506260008 0.256168500006 -0.1169
38 -0.00966822622044 1.27315991592 1.28374980399 0.263418713789 -0.115318421053
39 -0.0101883647168 1.14394470481 1.38158147229 0.271170750921 -0.115428205128
40 -0.0103111001169 1.09516034644 1.47839546771 0.281486277206 -0.1150975
41 -0.0104210511122 1.06909564357 1.56290431698 0.289891931991 -0.114663414634
42 -0.0104871253127 1.03475459928 1.62797549805 0.297006098067 -0.114685714286
43 -0.0105612414195 1.00113377735 1.72369946961 0.305651078373 -0.113995348837
44 -0.0107100477312 0.953436046769 1.83312700375 0.315928549628 -0.114109090909
45 -0.0108075873561 0.944303129735 1.87555262276 0.322532617674 -0.113682222222
46 -0.0109352882266 0.912511772997 1.9567848664 0.330472017173 -0.114047826087
47 -0.0109274392805 0.897130311687 2.01531493046 0.335911107458 -0.113844680851
48 -0.011021037208 0.907003122844 2.03818235847 0.338078004173 -0.113154166667
49 -0.0110841305199 0.896507725821 2.0717132476 0.34257265252 -0.113012244898
50 -0.0111917114493 0.899271932701 2.0910729778 0.346055499593 -0.113168
51 -0.0111264745655 0.904585444839 2.08418518276 0.346080902294 -0.112476470588
52 -0.011099171504 0.899230872542 2.08999418367 0.348692131212 -0.112478846154
53 -0.0110493161499 0.894875955035 2.09011264896 0.350005511942 -0.112050943396
54 -0.0109974874875 0.891252691378 2.0697555988 0.350224355986 -0.111466666667
55 -0.0109469423324 0.891341609647 2.06391226458 0.35008194543 -0.111754545455
56 -0.0108934113071 0.889192804631 2.05765521318 0.350765762367 -0.111975
57 -0.011143555512 0.947253505451 2.01944419554 0.345609899971 -0.111696491228
58 -0.0110679590925 0.95435849989 1.97836371997 0.341103521104 -0.111960344828
59 -0.0110678513871 0.971060235055 1.94142006557 0.333013925319 -0.11263220339
60 -0.0109925253509 0.977240255425 1.9054617433 0.331559081159 -0.112395
61 -0.0109645246412 0.996191960142 1.88489107285 0.327979815515 -0.111686885246
62 -0.0109213052843 1.00496407399 1.85289945057 0.323718368455 -0.111661290323
63 -0.0108750176627 1.0119316591 1.82792293327 0.318644777845 -0.112023809524
64 -0.0108046332266 1.0114740546 1.82713528599 0.318714674122 -0.1122515625
65 -0.0107472861087 1.01295653833 1.81333094181 0.317327270313 -0.112175384615
66 -0.0106916500567 1.01446377357 1.80740020501 0.316952570105 -0.112836363636
67 -0.0106424268514 1.01142051054 1.81399287179 0.317530447847 -0.113131343284
68 -0.0105995572043 1.00626425414 1.84333792171 0.318749235897 -0.113561764706
69 -0.0105676338307 0.99837682569 1.87232843242 0.320225457753 -0.114143478261
70 -0.0105303097228 0.995658115791 1.87749166842 0.320953160636 -0.114638571429
71 -0.0105048455057 0.993887054259 1.88484473847 0.321862025368 -0.115345070423
