Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp class
1.3567.1310 -0.00803141274665 0.703827681257 1.52070346816 0.876491170065 0.77653561463 0.801213444886 0.223730024921 0.772261807427 -0.370458333333 0.706029423919 0.802937028423 0.799577415771 0.771760920893 0.846180171353 -0.522519421811 0.859037102248 4.01594817278e+15 0.796994735582 0.0494073437569 0.701805939552 0.279166666667 0.798254382382 3.44262295156 0.540005424405 0.487 0.881329586077 0.026 0.685355029586 2
1.4176.155 -0.0062067619818 0.774299470075 1.73682394971 0.727239764599 0.168865152326 0.875240881651 0.147835349885 0.910048662124 -0.335647826087 0.885236183294 0.216697116082 0.848716148496 0.621855952642 0.538713553842 4.50655668525 0.274608894463 2.97732558434e+16 0.883503686585 0.0448438823044 0.773584968617 0.147826086957 0.527250452641 6.36223704742 -0.0526315789474 0.565 0.138755980861 0.0165 0.520090421787 2
1.4410.291 -0.0131607296567 0.791682387612 1.95200773694 0.731057939575 0.726936068381 0.713101197901 0.129531081009 0.873359941067 -0.313436363636 0.87599636432 0.83239940776 0.706397159537 0.696894996753 0.565622295668 5.1926726172 0.741682559644 2.66280780763e+15 0.869722763529 0.0847424168313 0.790701699714 0.0863636363636 0.683041076044 4.20968226858 1 1.258 0.875816993464 0.029 0.750389115646 2
1.4413.373 -0.0289226564309 0.818763202735 2.03592777743 0.924199203154 0.502406895371 0.467735552664 0.101783262832 0.884591810655 -0.397959090909 0.776875915649 1.37845600343 0.493233861111 0.290847659635 0.910886172527 -5.256953608 0.619026925532 1.22323822897e+14 0.8844971864 0.186472779874 0.822394313677 0.0272727272727 0.844787526473 8.98362789376 0.623015873016 3.017 0.856173528949 0.035 0.604756204904 2
1.4530.136 -0.00563929751277 0.641149012102 1.36534815506 0.657156983511 0.43272367893 0.590195093438 0.23515538207 0.724920409227 -0.0627590909091 0.779122995518 0.550871064958 0.593806060574 0.626849943212 0.705727031054 -3.07959126991 0.668068034437 2.99444363381e+16 0.773613930705 0.0381559740016 0.638487307592 0.25 0.731803073037 7.45282629372 0.718518518519 0.403 0.623015873016 0.022 0.764998356345 2
1.4538.531 -0.0101589837271 0.626866718772 1.51149596927 0.519372868105 0.0455155910442 0.38262079072 0.174442114735 0.56279076391 -0.3167 0.596479382163 0.0524417739265 0.355967129661 0.692605130105 0.611711150596 1.61055348207 0.570091504485 5.20329659233e+13 0.749746732388 0.061774646658 0.628857427636 0.18 0.619634955579 0.867889225774 -0.166666666667 0.442 0.401493040883 0.0265 0.63238208482 2
1.4653.105 -0.00373377547756 0.932967850332 1.46646246623 0.818231558673 0.787969977491 0.933373965766 0.207014700171 0.775563656211 -0.396491304348 0.767282495219 0.792524053023 0.934477775218 0.793414458072 0.895996730368 0.29884137193 0.844961068556 1.27086624459e+16 0.843025197729 0.0279519523182 0.932781234859 0.352173913043 0.882323758923 5.63266948473 -0.0526315789474 0.149 0.893949897885 0.02 0.917911447082 2
1.4659.335 -0.00280067056432 0.782303126733 1.55560335985 0.798587466914 0.280682960151 0.746129300704 0.194709638316 0.633088499425 -0.322054545455 0.785299243059 0.288144544997 0.742111716404 0.777335563311 0.510157122593 0.218523953739 0.742715258874 2.72603126291e+15 0.744283022182 0.0193625887102 0.780541751164 0.327272727273 0.800689743348 1.31147541012 0.28879645436 0.093 0.836734693878 0.0135 0.753142857143 2
10.4279.1493 -0.00349954070953 0.855399300106 0.960256159994 0.663280780505 1.10562070833 0.633396849258 0.306589919144 0.701160250247 -0.200241176471 0.728883632435 1.31942029622 0.689097364399 0.668691642668 0.526621701548 0.0933071269715 0.547781797918 5.73214191836e+15 0.759042558341 0.029140510804 0.85471856393 0.288235294118 0.75294751119 0.559841710509 0.60706271026 0.221 0.569230769231 0.0155 0.723076923077 2
11.8751.968 -0.026618955548 0.861746593977 1.35579460708 0.65939508359 0.371332704576 0.774149116888 0.309570416343 0.827253280838 0.363442857143 0.82203633775 0.390907552821 0.738591754062 0.758039838608 0.773167273837 0.37862046339 0.909205920265 3.18686225874e+13 0.713340050245 0.135894458079 0.861350578073 0.252380952381 0.920437077086 22.3335420948 0.697478991597 1.052 0.887172781383 0.0615 0.772266325159 2
11.9358.200 -0.0118615073264 0.727350106797 1.17829480445 0.758033666179 0.641569483608 0.71282187925 0.290223551882 0.795600218124 0.0442380952381 0.755428031416 0.721022101574 0.696784502156 0.710064846557 0.690271790281 0.541853953149 0.822535423422 5.33099706699e+14 0.859544274095 0.0719656289003 0.718940176329 0.219047619048 0.720771156226 7.72281362157 0.697478991597 0.667 0.759147736229 0.0315 0.634872577813 2
11.9714.184 -0.011258176969 0.821830461854 1.4988579805 0.82986449364 0.947166650492 0.781567372684 0.18268540559 0.708579025755 0.120863636364 0.814210901037 0.943023639747 0.782303893654 0.801505874546 0.749007540177 0.255044639453 0.881844858652 1.02345787054e+15 0.735140562405 0.0642301512436 0.821540195293 0.172727272727 0.751914030776 0.991991483382 0.800672090278 0.605 0.904017039887 0.036 0.736154485353 2
