Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StetsonK,Eta_e,Meanvariance,class
1.64875,0.27,0.0,27014.42999,0.71242,0.52,0.23333,0.37432,0.56203,1.06457,0.99687,0.79332,370.31087,-26.47773,Be_lc
1.76772,0.09,0.0,22020.08256,0.34305,0.93333,0.1,0.15822,5.48302,49.26021,1.06457,0.54746,270.22854,13.00645,Be_lc
1.5274,0.22,0.0,41056.25875,0.58187,0.9,-0.16667,0.28372,4.45308,45.94719,1.10702,0.6704,732.73727,51.90071,Be_lc
1.54332,0.22667,0.01007,9985.73082,0.36259,0.74667,-0.03333,0.18105,-0.71047,5.64473,0.737,0.70872,173.66789,-119.69606,Be_lc
1.07422,0.04667,0.0,28076.07815,0.59301,0.99333,0.1,0.2522,9.61837,138.11206,1.16654,0.55011,274.12014,24.20052,Be_lc
1.30847,0.18667,0.0,47819.78106,0.51853,0.88,0.03333,0.33182,3.45312,28.89715,0.84961,0.69429,1516.89282,979.48404,Be_lc
1.4588,0.32667,0.0,60159.76971,0.58352,0.48667,-0.16667,0.34224,-0.19968,0.17111,0.8416,0.8178,3378.4009,-32.03527,Be_lc
1.64798,0.24667,0.00671,11774.59285,0.68007,0.43,-0.03333,0.37301,1.03461,1.05329,0.9366,0.77009,113.5347,44.76219,Be_lc
1.91754,0.21333,0.01678,2746.41646,0.49714,0.66667,-0.03333,0.22345,1.03081,2.40374,0.9508,0.74236,18.10148,-18.41058,Be_lc
1.35972,0.10667,0.0,13530.61572,0.46006,0.95,-0.1,0.18504,1.79352,18.29926,0.92884,0.62026,153.75236,-47.3084,Be_lc
1.73539,0.25333,0.0,6350.9601,0.7668,0.38333,-0.1,0.38324,0.5881,-0.15578,1.01081,0.82491,42.31278,40.32846,Be_lc
1.52498,0.26333,0.0,32026.77136,0.76588,0.54,-0.1,0.395,1.0622,3.82569,0.97629,0.83347,1401.10798,-32.69079,Be_lc
1.48266,0.26333,0.00336,144309.76526,0.34758,0.58667,-0.16667,0.42474,0.74837,-0.84436,1.00605,0.87254,13634.32466,-62.0028,Be_lc
1.787,0.15667,0.0,439765.55538,0.55178,0.95,0.03333,0.27134,0.15534,18.28556,1.07959,0.65898,121030.42444,27.06282,Be_lc
1.67012,0.26,0.0,58951.36213,0.59484,0.56,-0.03333,0.32638,0.51757,1.96667,0.90539,0.77343,2937.42043,85.28014,Be_lc
1.67881,0.15,0.0,71148.8029,0.4315,0.94,-0.03333,0.13565,4.18867,51.52295,1.119,0.57533,4473.22461,-204.57544,Be_lc
1.54513,0.16333,0.0,45769.87345,0.63037,0.93667,0.03333,0.1124,3.52649,38.85073,1.16337,0.67623,1141.96178,287.70478,Be_lc
1.67582,0.25,0.0,8509.1043,0.49685,0.6,-0.1,0.30708,1.15575,5.13397,1.05124,0.72344,36.58753,57.46545,Be_lc
2.06415,0.28,0.0,34610.95057,0.51844,0.61,-0.1,0.32645,0.36739,1.0877,1.01808,0.75883,818.03424,-100.04447,Be_lc
1.73857,0.35333,0.0,8505.25572,0.81496,0.32333,0.03333,0.38842,0.132,-0.59839,0.9881,0.84793,37.40937,48.9323,Be_lc
2.11711,0.27667,0.00336,51956.76561,0.63591,0.48,-0.03333,0.32898,0.07457,0.49967,0.99723,0.77139,1352.45305,28.21456,Be_lc
2.04909,0.2,0.0,13215.53812,0.45045,0.82333,-0.16667,0.12683,1.90636,11.58204,1.01216,0.65604,120.84717,16.09418,Be_lc
1.67096,0.16,0.0,95738.98579,0.43702,0.91667,-0.1,0.16802,-3.86751,41.50074,1.12176,0.62823,4518.13937,-23.13471,Be_lc
0.46684,0.01333,0.0,3097.44184,0.10561,0.99333,-0.03333,0.07736,12.77841,177.85229,1.41703,0.21124,4.71587,23.93421,Be_lc
1.98035,0.27333,0.0,3207.37476,0.62537,0.45333,0.1,0.28052,0.34945,0.54073,1.01651,0.77505,27.99702,35.54134,Be_lc
