Amplitude;Beyond1Std;Con;MaxSlope;MedianAbsDev;MedianBRP;PairSlopeTrend;Rcs;Skew;SmallKurtosis;Std;StestonK;VariabilityIndex;class;meanvariance
245.76;80.00;;156777.66;70.86;21.37;96.67;76.15;1.24;251.12;2.87;31.26;105.94;EB;19247.35
171.24;74.00;;173313.92;47.82;47.00;83.33;82.94;7.64;10.29;8.33;15.96;134.40;EB;1422.64
154.63;86.00;98.98;110028.92;85.39;14.00;103.33;80.50;163.50;603.53;0.65;36.53;49.41;EB;2202.93
168.91;77.75;;242704.84;76.83;25.32;110.00;88.99;83.24;641.03;28.06;35.32;107.99;EB;1738.41
149.59;89.00;;36126.38;82.00;16.00;96.67;85.55;176.03;668.70;5.06;39.95;103.34;EB;1747.65
133.39;87.09;;64878.93;61.61;37.36;96.67;83.35;77.81;363.45;11.69;33.34;55.05;EB;6399.59
141.15;88.52;;248096.47;64.16;35.72;96.67;71.75;92.26;421.87;15.65;30.22;48.41;EB;915.69
112.64;81.35;;939445.11;70.33;38.64;90.00;101.95;23.04;24.92;10.27;26.42;142.45;EB;2855.16
229.57;127.75;inf;196562.95;41.41;24.29;110.00;88.03;38.23;326.66;7.57;32.70;78.23;EB;5906.01
145.88;67.00;98.98;37891.78;28.77;65.77;130.00;79.64;60.99;107.16;8.93;20.17;16.58;longperiod_lc;3428.74
121.73;74.00;97.96;78733.35;30.83;72.00;83.33;79.44;33.54;128.98;5.44;16.87;14.28;longperiod_lc;661.51
145.57;68.00;;57170.26;37.83;59.00;90.00;85.67;51.54;9.98;10.15;20.72;46.77;longperiod_lc;1318.50
178.22;66.78;;43689.96;26.84;55.87;90.00;80.87;33.66;34.08;0.44;19.79;13.49;longperiod_lc;586.12
101.47;55.62;;830388.49;8.08;75.74;83.33;71.48;2722.79;227.30;4.12;11.52;1.10;longperiod_lc;1035.77
110.94;69.56;;560897.79;35.07;68.00;110.00;72.71;98.44;202.40;8.54;18.83;67.90;longperiod_lc;1414.78
130.87;73.00;98.98;268478.23;35.55;64.63;83.33;89.45;255.02;114.57;9.38;21.63;3.52;longperiod_lc;9828.62
116.49;65.00;;82097.27;31.80;69.00;103.33;81.34;116.00;146.92;7.97;16.98;17.17;longperiod_lc;3201.47
74.91;66.00;;19008.96;22.44;84.00;110.00;79.66;57.89;218.26;1.94;11.21;27.96;longperiod_lc;1341.71
91.80;71.00;98.98;28741.79;39.19;74.00;76.67;76.49;47.90;168.37;0.80;15.21;9.71;longperiod_lc;521.74
108.12;68.00;98.98;104079.98;30.94;70.15;90.00;66.94;56.89;128.60;12.98;17.44;23.68;longperiod_lc;615.36
109.11;66.00;;59178.23;17.26;69.00;83.33;86.47;71.49;167.34;5.54;16.19;9.31;longperiod_lc;4026.87
117.81;70.00;98.98;149189.95;32.17;63.56;76.67;83.41;94.33;120.45;8.04;19.82;30.18;longperiod_lc;1490.67
76.57;64.00;;58168.70;47.01;59.33;103.33;76.87;157.27;25.35;32.42;18.47;2.70;longperiod_lc;794.11
210.66;74.45;;116191.01;37.50;42.84;83.33;85.18;3.92;85.92;8.01;21.96;36.46;longperiod_lc;7272.93
82.69;73.00;;41604.09;41.72;75.00;130.00;76.23;47.22;154.13;16.06;15.05;73.87;longperiod_lc;819.49
109.00;66.00;;11569.26;40.58;60.00;90.00;86.29;98.54;125.76;10.13;20.82;54.69;longperiod_lc;3254.01
183.64;77.38;;316394.81;36.55;33.74;116.67;80.17;57.85;100.18;1.04;23.70;32.95;longperiod_lc;1225.88
120.23;64.00;;72679.03;30.14;66.00;90.00;78.21;82.09;159.42;6.85;18.28;39.00;longperiod_lc;580.30
740.75;107.29;;256825.68;67.58;4.94;103.33;88.12;485.03;2790.84;40.92;56.56;84.03;microlensing_lc;780305.70
262.09;81.35;;7977120.50;54.82;37.45;103.33;50.19;28.73;176.48;30.66;27.91;101.64;microlensing_lc;364.41
148.15;125.46;;2566622.61;74.02;18.47;96.67;108.75;231.10;1456.93;20.55;52.48;83.50;microlensing_lc;701.62
272.81;120.00;;87123.75;65.29;20.00;116.67;82.79;502.55;2461.34;9.44;44.25;86.99;microlensing_lc;3326.92
224.15;91.67;;74534.96;53.65;26.33;43.33;81.60;232.10;885.24;16.44;35.66;74.57;microlensing_lc;4032.68
348.96;68.30;;149926.73;51.58;26.33;96.67;87.26;39.72;566.42;21.93;36.41;85.71;microlensing_lc;2653.34
196.33;62.00;198.98;126921.66;68.36;22.00;83.33;77.63;325.48;649.62;11.28;36.59;9.20;microlensing_lc;6994.17
225.26;91.53;;104518.55;55.17;14.35;76.67;96.55;86.58;377.85;7.64;37.03;75.52;microlensing_lc;572.79
505.56;179.67;;500213.78;34.99;13.76;90.00;79.65;276.48;951.58;50.92;51.67;114.63;microlensing_lc;593.20
413.70;114.57;;209156.87;58.96;10.19;96.67;119.99;303.21;1393.52;20.79;51.94;101.97;microlensing_lc;795.75
355.53;130.06;;158166.66;32.81;14.67;110.00;90.44;153.74;265.17;35.67;32.01;100.61;microlensing_lc;2316.40
218.19;90.04;;257394.85;57.64;31.00;83.33;71.85;23.00;233.75;9.18;34.36;83.69;microlensing_lc;2798.28
461.75;79.89;;2495104.55;73.16;10.10;296.67;140.63;334.64;2541.29;45.58;70.07;97.45;microlensing_lc;5125.35
284.47;112.58;;60851.57;47.53;16.37;36.67;103.12;127.52;474.87;15.21;41.08;56.87;microlensing_lc;3457.89
237.85;86.00;;47879.38;68.73;14.81;110.00;78.06;393.34;1476.63;18.02;45.08;109.50;microlensing_lc;743.57
454.36;100.00;;132854.88;70.69;10.00;110.00;85.97;322.02;1297.37;31.25;55.48;77.00;microlensing_lc;7084.64
661.22;90.00;;136648.21;54.47;12.12;43.33;90.37;383.96;1768.35;77.46;59.47;145.25;microlensing_lc;1508.69
134.16;64.86;;921633.98;61.86;48.00;96.67;77.93;119.87;11.50;7.51;27.37;119.66;microlensing_lc;867.60
264.48;134.00;;65785.20;58.03;4.82;110.00;63.74;155.02;677.07;14.30;45.54;95.38;microlensing_lc;213.43
213.15;77.75;;39303.45;70.33;21.47;96.67;70.91;349.10;1426.22;30.76;37.84;45.41;microlensing_lc;552.47
27.60;81.00;;39405.97;79.52;41.23;156.67;74.61;260.99;227.40;54.33;26.51;37.28;non_variables;855.20
365.36;96.33;;1199346.75;69.95;18.38;116.67;114.05;65.07;926.74;17.09;44.31;111.21;non_variables;4465.71
865.95;110.00;;380544.12;69.48;3.65;96.67;57.75;495.98;1742.87;94.50;55.35;77.18;non_variables;679.47
128.18;88.88;;287653.94;68.79;32.86;103.33;96.66;40.01;382.34;24.97;37.47;121.77;non_variables;2312.39
218.11;65.21;;242572.29;60.27;35.67;90.00;95.45;200.13;536.74;21.36;34.04;122.52;non_variables;3066.87
201.11;79.31;;1082274.30;83.75;15.30;96.67;87.82;348.46;3328.22;33.97;48.59;104.01;non_variables;2143.29
311.84;90.00;;698429.21;67.66;10.00;116.67;110.91;367.31;3666.00;9.01;47.01;118.35;non_variables;2420.88
487.08;86.00;;107119.56;59.81;9.00;96.67;95.10;81.38;2153.34;5.00;47.09;103.56;non_variables;12199.10
296.37;75.74;;3613248.25;45.97;30.33;76.67;108.69;1.03;414.55;9.30;29.85;97.21;non_variables;2676.80
393.88;89.00;;3560769.87;53.91;8.59;90.00;92.10;252.46;1059.56;8.37;43.12;86.18;non_variables;4594.36
331.41;117.00;;167557.24;60.39;15.16;83.33;148.76;210.63;1552.81;11.52;44.00;106.44;non_variables;1430.72
273.56;86.26;;434147.34;33.95;42.25;296.67;78.91;53.51;358.69;22.36;31.59;129.96;non_variables;2301.90
153.35;91.67;;102853.55;64.69;21.70;110.00;94.36;102.89;598.92;26.92;36.63;98.89;non_variables;709.04
146.66;75.57;;68269.48;42.10;71.20;83.33;81.40;0.74;50.51;2.76;25.00;82.55;non_variables;2569.50
391.04;86.00;;129052.72;79.45;14.00;96.67;84.10;208.19;1263.57;1.46;46.47;106.62;non_variables;739.60
585.16;134.45;;412720.53;72.05;1.60;110.00;162.62;423.93;2107.82;44.60;62.09;83.07;non_variables;9182.23
252.77;78.33;;446759.53;79.02;14.15;96.67;86.17;281.44;1823.83;32.22;45.00;115.55;non_variables;4761.43
277.79;96.33;;54178.14;64.28;15.30;110.00;64.46;471.53;2268.07;10.47;47.93;101.05;non_variables;438.23
80.25;112.41;;201356.09;73.35;23.18;103.33;152.30;100.38;502.97;30.49;40.24;128.28;non_variables;2091.64
327.47;71.50;;439337.40;70.76;8.24;103.33;79.57;132.78;564.61;14.48;45.10;103.08;non_variables;211094.45
120.02;82.00;;52037.74;68.31;33.83;103.33;79.75;132.82;812.32;28.64;35.12;52.44;quasar_lc;3147.40
381.02;82.55;;1224633.42;47.19;21.71;116.67;71.68;17.36;456.60;19.18;33.28;33.18;quasar_lc;676.92
166.59;75.45;;152651.49;33.60;56.56;103.33;86.34;57.74;35.65;5.46;22.62;32.59;quasar_lc;2064.03
173.21;79.00;;3406395.67;60.86;42.00;96.67;79.93;24.50;130.12;11.93;26.85;20.16;quasar_lc;2504.13
175.04;66.00;;49875.92;22.21;71.11;110.00;71.12;161.95;48.34;6.78;18.20;36.51;quasar_lc;832.99
71.99;65.00;;1541391.54;56.36;60.00;105.24;70.16;91.69;19.98;36.63;18.97;32.28;quasar_lc;612.60
